48 date pairs x 5 countries = 240 queries
skipped dates: ['2026-08-09->2026-08-14', '2026-08-10->2026-08-18', '2026-08-12->2026-08-18', '2026-08-13->2026-08-22', '2026-08-15->2026-08-22', '2026-08-17->2026-08-22', '2026-08-18->2026-08-26']
  2026-08-09->2026-08-15 (6n): 8 dests   [q=5]
  2026-08-09->2026-08-16 (7n): 11 dests   [q=10]
  2026-08-09->2026-08-17 (8n): 11 dests   [q=15]
  2026-08-09->2026-08-18 (9n): 11 dests   [q=20]
  2026-08-10->2026-08-15 (5n): 11 dests   [q=25]
  2026-08-10->2026-08-16 (6n): 13 dests   [q=30]
  2026-08-10->2026-08-17 (7n): 15 dests   [q=35]
  2026-08-10->2026-08-19 (9n): 15 dests   [q=40]
  2026-08-11->2026-08-16 (5n): 15 dests   [q=45]
  2026-08-11->2026-08-17 (6n): 13 dests   [q=50]
  2026-08-11->2026-08-18 (7n): 16 dests   [q=55]
  2026-08-11->2026-08-19 (8n): 14 dests   [q=60]
  2026-08-11->2026-08-20 (9n): 14 dests   [q=65]
  2026-08-12->2026-08-17 (5n): 12 dests   [q=70]
  2026-08-12->2026-08-19 (7n): 14 dests   [q=75]
  2026-08-12->2026-08-20 (8n): 10 dests   [q=80]
  2026-08-12->2026-08-21 (9n): 11 dests   [q=85]
  2026-08-13->2026-08-18 (5n): 13 dests   [q=90]
  2026-08-13->2026-08-19 (6n): 13 dests   [q=95]
  2026-08-13->2026-08-20 (7n): 10 dests   [q=100]
  2026-08-13->2026-08-21 (8n): 11 dests   [q=105]
  2026-08-14->2026-08-19 (5n): 11 dests   [q=110]
  2026-08-14->2026-08-20 (6n): 10 dests   [q=115]
  2026-08-14->2026-08-21 (7n): 11 dests   [q=120]
  2026-08-14->2026-08-22 (8n): 7 dests   [q=125]
  2026-08-14->2026-08-23 (9n): 7 dests   [q=130]
  2026-08-15->2026-08-20 (5n): 9 dests   [q=135]
  2026-08-15->2026-08-21 (6n): 10 dests   [q=140]
  2026-08-15->2026-08-23 (8n): 6 dests   [q=145]
  2026-08-15->2026-08-24 (9n): 8 dests   [q=150]
  2026-08-16->2026-08-21 (5n): 8 dests   [q=155]
  2026-08-16->2026-08-22 (6n): 6 dests   [q=160]
  2026-08-16->2026-08-23 (7n): 8 dests   [q=165]
  2026-08-16->2026-08-24 (8n): 7 dests   [q=170]
  2026-08-16->2026-08-25 (9n): 8 dests   [q=175]
  2026-08-17->2026-08-23 (6n): 9 dests   [q=180]
  2026-08-17->2026-08-24 (7n): 15 dests   [q=185]
  2026-08-17->2026-08-25 (8n): 11 dests   [q=190]
  2026-08-17->2026-08-26 (9n): 12 dests   [q=195]
  2026-08-18->2026-08-23 (5n): 9 dests   [q=200]
  2026-08-18->2026-08-24 (6n): 12 dests   [q=205]
  2026-08-18->2026-08-25 (7n): 14 dests   [q=210]
  2026-08-19->2026-08-24 (5n): 14 dests   [q=215]
  2026-08-19->2026-08-25 (6n): 12 dests   [q=220]
  2026-08-19->2026-08-26 (7n): 13 dests   [q=225]
  2026-08-20->2026-08-25 (5n): 11 dests   [q=230]
  2026-08-20->2026-08-26 (6n): 10 dests   [q=235]
  2026-08-21->2026-08-26 (5n): 10 dests   [q=240]

DONE. total queries this run: 240. results -> serp_results.json
